time,polarization
03:55.7,54.2071
03:56.7,54.104
03:57.8,53.9036
03:58.8,53.727
03:59.9,55.3387
04:00.9,54.2604
04:02.0,54.8583
04:03.0,54.8202
04:04.1,55.9228
04:05.1,55.3454
04:06.2,54.057
04:07.2,54.9999
04:08.3,54.0855
04:09.3,54.8403
04:10.4,54.0532
04:11.4,55.1364
04:12.5,54.4389
04:13.5,54.9882
04:14.6,53.9729
04:15.6,54.382
04:16.7,54.5632
04:17.7,54.5125
04:18.8,54.9785
04:19.8,55.2567
04:20.9,54.8368
04:21.9,53.7182
04:23.0,54.3385
04:24.0,54.0041
04:25.1,55.3425
04:26.1,55.2376
04:27.1,54.6144
04:28.2,54.4952
04:29.2,54.7311
04:30.3,55.267
04:31.3,54.6836
04:32.4,54.3276
04:33.4,55.3675
04:34.5,55.0546
04:35.5,53.3461
04:36.6,53.9291
04:37.6,53.9574
04:38.7,55.1736
04:39.7,53.7659
04:40.8,53.2754
04:41.8,54.6566
04:42.9,55.8283
04:43.9,53.1173
04:44.9,54.1091
04:46.0,55.0078
04:47.1,54.8601
04:48.1,54.8042
04:49.1,55.7802
04:50.2,55.4699
04:51.2,55.3642
04:52.3,55.2052
04:53.3,55.5006
04:54.4,52.851
04:55.4,54.7285
04:56.5,54.4952
04:57.5,54.2951
04:58.6,57.2422
04:59.6,55.6593
05:00.7,54.7569
05:01.7,55.2319
05:02.8,54.5824
05:03.8,54.9714
05:04.9,54.323
05:05.9,56.532
05:06.9,52.9941
05:08.0,54.0654
05:09.0,53.9211
05:10.0,53.5714
05:11.1,55.0674
05:12.1,53.9061
05:13.2,55.4128
05:14.2,54.6691
05:15.3,54.3397
05:16.3,54.6046
05:17.4,53.8321
05:18.4,54.574
05:19.4,54.8306
05:20.5,54.3315
05:21.5,54.5384
05:22.5,55.037
05:23.5,54.3817
05:24.6,53.7607
05:25.6,54.7712
05:26.6,54.0669
05:27.7,54.1996
05:28.7,55.1475
05:29.7,53.2677
05:30.8,54.8036
05:31.8,54.1747
05:32.8,54.8416
05:33.8,54.2046
05:34.9,54.8312
05:35.9,55.3494
