filename,power,cell,datagrab,ml_ic_min,ml_ic_max,ml_bu_min,ml_bu_max,ml_pl_min,ml_pl_max,ml_dc_min,ml_dc_max,dv_ic_min,dv_ic_max,dv_bu_min,dv_bu_max,dv_pl_min,dv_pl_max,dv_dc_min,dv_dc_max,agree_gmm_hmm,agree_hmm_pelt,agree_gmm_pelt,agree_all_three,delta_ic_left,delta_ic_right,delta_bu_left,delta_bu_right,delta_pl_left,delta_pl_right,delta_dc_left,delta_dc_right
6W_C8_datagrab3,6W,C8,datagrab3,0.0,97.3,98.4,155.2,181.4,753.3,156.2,741.8,0.0,92.1,102.1,167.8,167.8,350.3,351.3,753.3,0.4,0.3,0.8,0.3,0.0,5.2,-3.7,-12.6,13.6,403.0,-195.1,-11.5
6W_C9_datagrab1,6W,C9,datagrab1,0.0,50.4,51.4,99.5,100.6,308.8,309.8,732.3,0.0,33.6,43.6,133.9,133.9,310.9,310.9,732.3,0.8,0.5,0.6,0.5,0.0,16.8,7.8,-34.4,-33.3,-2.1,-1.1,0.0
6W_C9_datagrab2,6W,C9,datagrab2,0.0,46.3,47.3,117.6,118.7,328.6,329.7,731.0,0.0,35.5,45.5,133.4,133.4,328.6,329.7,731.0,0.6,0.5,0.8,0.5,0.0,10.8,1.8,-15.8,-14.7,0.0,0.0,0.0
6W_C9_datagrab3,6W,C9,datagrab3,0.0,29.7,30.8,108.3,109.4,324.6,325.6,732.3,0.0,37.1,47.1,117.8,117.8,324.6,325.6,732.3,0.8,0.5,0.6,0.5,0.0,-7.4,-16.3,-9.5,-8.4,0.0,0.0,0.0
7W_C8_datagrab1,7W,C8,datagrab1,0.0,57.8,58.9,133.5,134.6,368.6,369.6,813.9,0.0,54.7,64.7,127.2,127.2,367.6,368.6,813.9,0.9,0.7,0.6,0.6,0.0,3.1,-5.8,6.3,7.4,1.0,1.0,0.0
7W_C8_datagrab2,7W,C8,datagrab2,0.0,70.8,71.9,107.5,577.8,875.1,108.5,576.8,0.0,48.7,58.7,119.0,119.0,418.4,418.4,875.1,0.2,0.9,0.2,0.1,0.0,22.1,13.2,-11.5,458.8,456.7,-309.9,-298.3
7W_C8_datagrab3,7W,C8,datagrab3,0.0,0.0,55.1,112.9,0.0,744.3,113.9,875.6,0.0,52.0,62.0,127.6,127.6,412.0,412.0,875.6,0.2,0.1,0.6,0.1,0.0,-52.0,-6.9,-14.7,-127.6,332.3,-298.1,0.0
7W_C9_datagrab1,7W,C9,datagrab1,0.0,43.1,63.0,99.7,44.1,301.0,100.7,686.1,0.0,25.2,35.2,120.7,120.7,301.0,301.0,686.1,0.5,0.3,0.7,0.3,0.0,17.9,27.8,-21.0,-76.6,0.0,-200.3,0.0
7W_C9_datagrab2,7W,C9,datagrab2,0.0,39.6,40.6,148.8,149.9,351.3,352.4,749.7,0.0,37.5,47.5,128.9,128.9,351.3,352.4,749.7,0.9,0.7,0.6,0.6,0.0,2.1,-6.9,19.9,21.0,0.0,0.0,0.0
7W_C9_datagrab3,7W,C9,datagrab3,0.0,74.9,76.0,129.6,130.6,749.7,322.6,631.4,0.0,62.3,72.3,152.6,152.6,323.6,324.7,749.7,0.4,0.2,0.7,0.2,0.0,12.6,3.7,-23.0,-22.0,426.1,-2.1,-118.3
8W_C8_datagrab1,8W,C8,datagrab1,0.0,152.1,153.2,214.4,586.0,875.8,215.4,584.9,0.0,149.0,159.0,214.4,214.4,402.4,403.4,875.8,0.3,0.8,0.3,0.2,0.0,3.1,-5.8,0.0,371.6,473.4,-188.0,-290.9
8W_C8_datagrab2,8W,C8,datagrab2,0.0,114.4,115.4,171.1,192.2,413.8,172.1,876.0,0.0,112.3,122.3,180.5,180.5,397.8,397.8,876.0,0.4,0.3,0.9,0.3,0.0,2.1,-6.9,-9.4,11.7,16.0,-225.7,0.0
8W_C8_datagrab3,8W,C8,datagrab3,0.0,115.3,116.3,196.0,569.8,875.5,197.0,568.7,0.0,96.3,106.3,184.5,184.5,377.6,377.6,875.5,0.4,0.6,0.3,0.3,0.0,19.0,10.0,11.5,385.3,497.9,-180.6,-306.8
8W_C9_datagrab1,8W,C9,datagrab1,0.0,112.4,113.4,178.6,215.3,875.9,179.6,748.8,0.0,110.3,120.3,206.9,206.9,406.5,407.5,875.9,0.4,0.3,0.7,0.3,0.0,2.1,-6.9,-28.3,8.4,469.4,-227.9,-127.1
8W_C9_datagrab2,8W,C9,datagrab2,0.0,57.4,58.4,141.2,142.3,369.2,370.3,876.4,0.0,44.8,54.8,142.3,142.3,370.3,370.3,876.4,0.8,0.7,0.6,0.5,0.0,12.6,3.6,-1.1,0.0,-1.1,0.0,0.0
8W_C9_datagrab3,8W,C9,datagrab3,0.0,81.5,82.9,171.2,172.2,362.2,363.2,876.2,0.0,77.3,87.3,168.0,168.0,364.3,365.3,876.2,0.8,0.5,0.6,0.5,0.0,4.2,-4.4,3.2,4.2,-2.1,-2.1,0.0
