power_W,P_max_mean,P_max_fit_err,P_max_rms,P_max_total,tau_b_mean,tau_b_fit_err,tau_b_rms,tau_b_total,tau_decay_mean,tau_decay_fit_err,tau_decay_rms,tau_decay_total,n
3,53.4116,0.0280,0.4243,0.4252,16.9233,0.2203,0.2007,0.2980,109.6905,0.2785,0.4849,0.5592,3.0000
4,55.7778,0.0268,0.0504,0.0571,15.5762,0.1824,0.7594,0.7810,117.6958,0.3372,0.8939,0.9554,3.0000
5,55.2737,0.0288,0.0898,0.0943,12.1337,0.1093,0.5696,0.5800,102.3806,0.3037,0.2597,0.3996,3.0000
6,56.4151,0.0243,0.0352,0.0427,12.5537,0.1133,0.4502,0.4643,101.3432,0.3257,0.2126,0.3890,3.0000
7,55.8622,0.0210,0.0770,0.0798,11.2188,0.1260,0.4837,0.4999,90.2731,0.2203,0.7047,0.7383,3.0000
8,55.4271,0.0383,0.1403,0.1454,16.3031,0.8346,1.0062,1.3073,100.3687,0.2713,0.5660,0.6277,3.0000
